"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.011668310E-1,9.212367237E-2,-1.992024779E-1,9.817152977E0,9.819605948E0
4.036814660E-1,8.255238086E-2,-1.704886109E-1,9.821938515E0,9.823764932E0
4.061960500E-1,9.212367237E-2,-1.944168359E-1,9.817152977E0,9.819510031E0
4.087106850E-1,1.160518974E-1,-1.609173268E-1,9.798010826E0,9.800019315E0
4.112252680E-1,7.776673883E-2,-1.657029688E-1,9.812367439E0,9.814074582E0
4.137398520E-1,8.255238086E-2,-1.704886109E-1,9.812367439E0,9.814195638E0
4.162544870E-1,1.160518974E-1,-1.944168359E-1,9.798010826E0,9.800626618E0
4.187690700E-1,1.160518974E-1,-1.992024779E-1,9.798010826E0,9.800722719E0
4.212837060E-1,1.208375469E-1,-1.609173268E-1,9.798010826E0,9.800077155E0
4.237982890E-1,9.690931439E-2,-1.752742529E-1,9.807581902E0,9.809626661E0
4.257039140E-1,9.690931439E-2,-1.704886109E-1,9.812367439E0,9.814326902E0
4.282184970E-1,1.160518974E-1,-1.513460279E-1,9.812367439E0,9.814220724E0
4.307331330E-1,1.208375469E-1,-1.752742529E-1,9.802796364E0,9.805107818E0
4.332477160E-1,1.495514214E-1,-1.657029688E-1,9.807581902E0,9.810121603E0
4.357623520E-1,1.543370634E-1,-1.657029688E-1,9.817152977E0,9.819764253E0
4.382769350E-1,1.160518974E-1,-1.657029688E-1,9.807581902E0,9.809668102E0
4.407915180E-1,1.256231815E-1,-1.417747438E-1,9.826724052E0,9.828549581E0
4.433061540E-1,9.690931439E-2,-1.513460279E-1,9.817152977E0,9.818797768E0
4.458207370E-1,1.112662554E-1,-1.657029688E-1,9.836296082E0,9.838320906E0
4.483353720E-1,7.776673883E-2,-1.657029688E-1,9.826724052E0,9.828428702E0
4.508499560E-1,4.426721856E-2,-1.657029688E-1,9.826724052E0,9.828220727E0
4.533645390E-1,8.733802289E-2,-1.657029688E-1,9.821938515E0,9.823724426E0
4.552255290E-1,8.255238086E-2,-1.704886109E-1,9.793225288E0,9.795057060E0
4.577401120E-1,7.298108935E-2,-1.752742529E-1,9.836296082E0,9.838128273E0
4.602546950E-1,7.776673883E-2,-1.657029688E-1,9.841081619E0,9.842783782E0
4.627693310E-1,1.112662554E-1,-1.800599098E-1,9.855438232E0,9.857710916E0
4.652839140E-1,1.112662554E-1,-1.752742529E-1,9.812367439E0,9.814563465E0
4.677985500E-1,1.064806059E-1,-1.704886109E-1,9.812367439E0,9.814426078E0
4.703131330E-1,9.690931439E-2,-1.752742529E-1,9.831509590E0,9.833549374E0
4.728277160E-1,1.208375469E-1,-1.369891018E-1,9.874580383E0,9.876269816E0
4.753423520E-1,1.399801224E-1,-1.609173268E-1,9.826724052E0,9.829038326E0
4.778569350E-1,1.208375469E-1,-1.992024779E-1,9.865009308E0,9.867760231E0
4.803715700E-1,8.733802289E-2,-1.896311939E-1,9.845867157E0,9.848080422E0
4.828861540E-1,8.255238086E-2,-1.704886109E-1,9.826724052E0,9.828549581E0
4.847656850E-1,1.112662554E-1,-2.087737769E-1,9.821938515E0,9.824787166E0
4.872802680E-1,1.112662554E-1,-1.944168359E-1,9.821938515E0,9.824492571E0
4.897948520E-1,1.399801224E-1,-1.561316848E-1,9.821938515E0,9.824176694E0
4.923094870E-1,1.495514214E-1,-1.609173268E-1,9.788438797E0,9.790903640E0
4.948240700E-1,1.351944804E-1,-1.417747438E-1,9.869794846E0,9.871738850E0
4.973387060E-1,9.212367237E-2,-1.417747438E-1,9.826724052E0,9.828178491E0
4.998532890E-1,9.212367237E-2,-1.561316848E-1,9.793225288E0,9.794903033E0
5.023678720E-1,1.112662554E-1,-1.657029688E-1,9.841081619E0,9.843105460E0
5.048825080E-1,1.016949639E-1,-1.848455518E-1,9.836296082E0,9.838558347E0
5.073970910E-1,8.733802289E-2,-1.848455518E-1,9.836296082E0,9.838420423E0
5.099117270E-1,1.016949639E-1,-1.609173268E-1,9.817152977E0,9.818998362E0
5.124263100E-1,1.112662554E-1,-1.657029688E-1,9.812367439E0,9.814397201E0
5.143084970E-1,9.690931439E-2,-1.609173268E-1,9.807581902E0,9.809380641E0
5.168230810E-1,8.733802289E-2,-1.561316848E-1,9.817152977E0,9.818782898E0
5.193376640E-1,7.298108935E-2,-1.848455518E-1,9.812367439E0,9.814379699E0
5.218523000E-1,9.690931439E-2,-1.752742529E-1,9.812367439E0,9.814411202E0
5.243668830E-1,8.733802289E-2,-2.039881349E-1,9.821938515E0,9.824444782E0
5.268815180E-1,1.160518974E-1,-1.944168359E-1,9.812367439E0,9.814979405E0
5.293961020E-1,1.399801224E-1,-1.752742529E-1,9.845867157E0,9.848421984E0
5.319106850E-1,9.212367237E-2,-1.657029688E-1,9.826724052E0,9.828552785E0
5.344253200E-1,1.112662554E-1,-1.800599098E-1,9.817152977E0,9.819434522E0
5.369399040E-1,8.733802289E-2,-1.800599098E-1,9.841081619E0,9.843116221E0
5.394545390E-1,9.212367237E-2,-1.752742529E-1,9.826724052E0,9.828718810E0
5.419691220E-1,9.690931439E-2,-1.465603858E-1,9.812367439E0,9.813940397E0
5.438515700E-1,1.160518974E-1,-1.465603858E-1,9.812367439E0,9.814148091E0
5.463661540E-1,1.256231815E-1,-1.561316848E-1,9.774082184E0,9.776136293E0
5.488807370E-1,1.160518974E-1,-1.657029688E-1,9.817152977E0,9.819237144E0
5.513953720E-1,1.351944804E-1,-1.369891018E-1,9.764511108E0,9.766407771E0
5.539099560E-1,9.690931439E-2,-1.752742529E-1,9.831509590E0,9.833549374E0
5.564245910E-1,8.255238086E-2,-1.657029688E-1,9.831509590E0,9.833252422E0
5.589391750E-1,8.255238086E-2,-1.848455518E-1,9.774082184E0,9.776178461E0
5.614537580E-1,7.298108935E-2,-1.704886109E-1,9.788438797E0,9.790195437E0
5.639683930E-1,1.016949639E-1,-1.561316848E-1,9.855438232E0,9.857199487E0
5.664829770E-1,7.298108935E-2,-1.609173268E-1,9.836296082E0,9.837882965E0
5.689976120E-1,8.255238086E-2,-1.561316848E-1,9.836296082E0,9.837881510E0
5.715121950E-1,9.212367237E-2,-1.848455518E-1,9.812367439E0,9.814540713E0
5.733965700E-1,8.733802289E-2,-1.944168359E-1,9.817152977E0,9.819466300E0
5.759111540E-1,1.064806059E-1,-1.992024779E-1,9.802796364E0,9.805398324E0
5.784257370E-1,1.112662554E-1,-1.752742529E-1,9.831509590E0,9.833701341E0
5.809403720E-1,8.733802289E-2,-1.657029688E-1,9.821938515E0,9.823724426E0
5.834549560E-1,1.016949639E-1,-1.417747438E-1,9.817152977E0,9.818703301E0
5.859695910E-1,1.208375469E-1,-1.513460279E-1,9.831509590E0,9.833416911E0
5.884841750E-1,1.016949639E-1,-1.609173268E-1,9.831509590E0,9.833352281E0
5.909987580E-1,1.016949639E-1,-1.848455518E-1,9.821938515E0,9.824204086E0
5.935133930E-1,1.351944804E-1,-1.896311939E-1,9.807581902E0,9.810346594E0
5.960279770E-1,9.690931439E-2,-1.896311939E-1,9.821938515E0,9.824246922E0
5.985426120E-1,1.016949639E-1,-1.992024779E-1,9.836296082E0,9.838838554E0
6.010571950E-1,1.160518974E-1,-1.944168359E-1,9.884152412E0,9.886745413E0
6.029402160E-1,1.399801224E-1,-1.800599098E-1,9.908080101E0,9.910704682E0
6.054548000E-1,9.690931439E-2,-2.039881349E-1,9.860223770E0,9.862809710E0
6.079693830E-1,1.112662554E-1,-1.944168359E-1,9.807581902E0,9.810139695E0
6.104840180E-1,8.733802289E-2,-1.417747438E-1,9.841081619E0,9.842490307E0
6.129986020E-1,9.690931439E-2,-1.561316848E-1,9.869794846E0,9.871505397E0
6.155132370E-1,9.212367237E-2,-1.800599098E-1,9.874580383E0,9.876651563E0
6.180278200E-1,8.255238086E-2,-1.800599098E-1,9.884152412E0,9.886137030E0
6.205424040E-1,1.112662554E-1,-1.944168359E-1,9.898509026E0,9.901043330E0
6.230570390E-1,8.255238086E-2,-1.800599098E-1,9.869794846E0,9.871782350E0
6.255716220E-1,5.862415582E-2,-1.848455518E-1,9.884152412E0,9.886054500E0
6.280862580E-1,6.340979785E-2,-1.609173268E-1,9.836296082E0,9.837816617E0
6.306008410E-1,9.690931439E-2,-2.039881349E-1,9.778867722E0,9.781475169E0
6.324882890E-1,8.733802289E-2,-1.944168359E-1,9.841081619E0,9.843389318E0
6.350028720E-1,8.733802289E-2,-1.657029688E-1,9.850652695E0,9.852433401E0
6.375174560E-1,9.690931439E-2,-1.944168359E-1,9.826724052E0,9.829124830E0
6.400320910E-1,1.112662554E-1,-1.896311939E-1,9.831509590E0,9.833967714E0
6.425466750E-1,1.016949639E-1,-1.657029688E-1,9.836296082E0,9.838217315E0
6.450613100E-1,1.112662554E-1,-2.135594189E-1,9.850652695E0,9.853595603E0
6.475758930E-1,1.112662554E-1,-1.417747438E-1,9.802796364E0,9.804452907E0
6.500904770E-1,9.690931439E-2,-1.848455518E-1,9.826724052E0,9.828940172E0
6.526051120E-1,1.208375469E-1,-1.848455518E-1,9.774082184E0,9.776576708E0
6.551196950E-1,7.298108935E-2,-1.274178028E-1,9.831509590E0,9.832606082E0
6.576343310E-1,1.160518974E-1,-1.800599098E-1,9.798010826E0,9.800352328E0
6.601489140E-1,1.495514214E-1,-1.561316848E-1,9.802796364E0,9.805180227E0
6.620268310E-1,8.255238086E-2,-1.609173268E-1,9.783653259E0,9.785324746E0
6.645414140E-1,8.733802289E-2,-1.848455518E-1,9.836296082E0,9.838420423E0
6.670559970E-1,1.016949639E-1,-1.369891018E-1,9.783653259E0,9.785140723E0
6.695706330E-1,1.112662554E-1,-1.513460279E-1,9.798010826E0,9.799811322E0
6.720852160E-1,1.208375469E-1,-1.848455518E-1,9.850652695E0,9.853127833E0
6.745998000E-1,8.733802289E-2,-1.752742529E-1,9.807581902E0,9.809536775E0
6.771144350E-1,6.340979785E-2,-1.465603858E-1,9.836296082E0,9.837592254E0
6.796290180E-1,7.298108935E-2,-1.657029688E-1,9.798010826E0,9.799683661E0
6.821436540E-1,7.298108935E-2,-1.704886109E-1,9.783653259E0,9.785410758E0
6.846582370E-1,7.298108935E-2,-1.417747438E-1,9.812367439E0,9.813662980E0
6.871728720E-1,8.255238086E-2,-1.465603858E-1,9.812367439E0,9.813809128E0
6.896874560E-1,7.776673883E-2,-1.848455518E-1,9.769296646E0,9.771354691E0
6.915725080E-1,6.819544733E-2,-1.896311939E-1,9.774082184E0,9.776159427E0
6.940870910E-1,1.016949639E-1,-1.561316848E-1,9.788438797E0,9.790212105E0
6.966016750E-1,8.733802289E-2,-1.561316848E-1,9.807581902E0,9.809213413E0
6.991163100E-1,9.690931439E-2,-1.561316848E-1,9.817152977E0,9.818872700E0
7.016308930E-1,1.064806059E-1,-1.896311939E-1,9.793225288E0,9.795639829E0
7.041455290E-1,9.690931439E-2,-1.704886109E-1,9.783653259E0,9.785618472E0
7.066601120E-1,1.160518974E-1,-1.609173268E-1,9.774082184E0,9.776095589E0
7.091746950E-1,8.255238086E-2,-1.752742529E-1,9.807581902E0,9.809495334E0
7.116893310E-1,1.016949639E-1,-1.752742529E-1,9.793225288E0,9.795321561E0
7.142039140E-1,1.256231815E-1,-1.609173268E-1,9.793225288E0,9.795352833E0
7.167185500E-1,1.160518974E-1,-1.465603858E-1,9.774082184E0,9.775869809E0
7.192331330E-1,1.304088384E-1,-1.896311939E-1,9.807581902E0,9.810281811E0
7.211099560E-1,9.690931439E-2,-1.800599098E-1,9.836296082E0,9.838421296E0
7.236245390E-1,6.819544733E-2,-1.609173268E-1,9.788438797E0,9.789998932E0
7.261391220E-1,9.212367237E-2,-1.800599098E-1,9.817152977E0,9.819236269E0
7.286537580E-1,7.776673883E-2,-1.561316848E-1,9.783653259E0,9.785208013E0
7.311683410E-1,9.690931439E-2,-1.465603858E-1,9.745368004E0,9.746951774E0
7.336829770E-1,9.690931439E-2,-1.657029688E-1,9.793225288E0,9.795106454E0
7.361975600E-1,1.208375469E-1,-1.848455518E-1,9.826724052E0,9.829205217E0
7.387121430E-1,1.064806059E-1,-1.752742529E-1,9.817152977E0,9.819294871E0
7.412267790E-1,6.340979785E-2,-1.848455518E-1,9.845867157E0,9.847806291E0
7.437413620E-1,9.690931439E-2,-1.848455518E-1,9.826724052E0,9.828940172E0
7.462559970E-1,1.016949639E-1,-1.752742529E-1,9.778867722E0,9.780967071E0
7.487705810E-1,1.112662554E-1,-1.800599098E-1,9.836296082E0,9.838573187E0
7.506560500E-1,1.064806059E-1,-1.561316848E-1,9.879366875E0,9.881174276E0
7.531706330E-1,8.255238086E-2,-1.704886109E-1,9.812367439E0,9.814195638E0
7.556852160E-1,6.819544733E-2,-1.848455518E-1,9.831509590E0,9.833483580E0
